"sesso";"titolo";"giuridica2";"area";"corso";"aula";"edizione";"ore";"trimestre";"iscritti";"formati";"esito"
"M";"LAUREA                             ";"Categoria D";"GIURIDICA                               ";"TESTO UNICO SULLA SICUREZZA (D.LGS. 81/2008)                                    ";"FUORI";"A09CB";12;4;1;1;1
"F";"LAUREA                             ";"Categoria D";"GIURIDICA                               ";"LA PRIVACY IN AMBITO SANITARIO                                                  ";"FUORI";"B09CB";8;2;1;NA;0
"F";"LAUREA                             ";"Categoria D";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"INTRODUZIONE A BUSINESS OBJECTS                                                 ";"DENTRO";"C08AT";24;1;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria D";"COMUNICAZIONE                           ";"CERIMONIALE, RELAZIONI ESTERNE ED ORGANIZZAZIONE EVENTI                         ";"FUORI";"A09MS";16;2;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria D";"MANAGERIALE                             ";"COMUNICARE IL CAMBIAMENTO                                                       ";"FUORI";"A09MM";16;3;1;1;1
"M";"LAUREA                             ";"Categoria D";"ECONOMICO FINANZIARIA                   ";"LA PROGRAMMAZIONE CONTABILE E DI BILANCIO                                       ";"DENTRO";"A09AT";16;4;1;1;1
"M";"LAUREA                             ";"Categoria D";"GIURIDICA                               ";"L'ATTIVITA' CONTRATTUALE DELLA REGIONE TOSCANA - AGGIORNAMENTO                  ";"DENTRO";"B09AL";8;4;1;NA;0
"M";"LAUREA                             ";"Categoria D";"GIURIDICA                               ";"TESTO UNICO SULLA SICUREZZA (D.LGS. 81/2008)                                    ";"FUORI";"A09CB";12;4;1;1;1
"M";"LAUREA                             ";"Categoria D";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"SEMINARIO SU INTRODUZIONE AL PROTOCOLLO INTEROPERABILE E GESTIONE DOCUMENTALE   ";"FUORI";"A09BB";4;3;1;1;1
"M";"LAUREA                             ";"Categoria D";"ECONOMICO FINANZIARIA                   ";"LA COSTRUZIONE E LA VALUTAZIONE DEL PIANO ECONOMICO FINANZIARIO DI UNA INIZIATIV";"FUORI";"B09MS";32;4;1;NA;0
"M";"LAUREA                             ";"Categoria D";"COMPETENZE TRASVERSALI                  ";"TECNICHE DI NEGOZIAZIONE                                                        ";"FUORI";"B09FV";16;3;1;NA;0
"F";"DIPLOMA DI MATURITA                ";"Categoria D";"GIURIDICA                               ";"IL RIPARTO DELLA GIURISDIZIONE TRA GIUDICE ORDINARIO E GIUDICE AMMINISTRATIVO NE";"FUORI";"A09CB";16;4;1;NA;0
"F";"LAUREA                             ";"Qualifica dirigenziale";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"SEMINARIO SU INTRODUZIONE AL PROTOCOLLO INTEROPERABILE E GESTIONE DOCUMENTALE   ";"FUORI";"A09BB";4;3;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"GIURIDICA                               ";"IL CONTRATTO DI APPALTO PER LA FORNITURA DI BENI E SERVIZI: DALL'AGGIUDICAZIONE ";"FUORI";"B09AL";16;2;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"GIURIDICA                               ";"L'ATTIVITA' CONTRATTUALE DELLA REGIONE TOSCANA - CORSO BASE                     ";"DENTRO";"C09AL";16;2;1;1;1
"M";"LAUREA                             ";"Qualifica dirigenziale";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"SEMINARIO SU INTRODUZIONE AL PROTOCOLLO INTEROPERABILE E GESTIONE DOCUMENTALE   ";"FUORI";"A09BB";4;3;1;1;1
"F";"DIPLOMA DI QUALIFICA               ";"Categoria C";"GIURIDICA                               ";"TECNICHE DI REDAZIONE E CONTROLLO DI ATTI AMMINISTRATIVI                        ";"DENTRO";"C09AL";28;4;1;NA;0
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"COMPETENZE TRASVERSALI                  ";"TECNICHE DI COMUNICAZIONE INTERPERSONALE                                        ";"DENTRO";"F09FV";16;4;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"GIURIDICA                               ";"L'ATTIVITA' CONTRATTUALE DELLA REGIONE TOSCANA - CORSO APPROFONDIMENTO FORNITURE";"DENTRO";"C09AL";28;4;1;NA;0
"F";"DIPLOMA DI MATURITA                ";"Categoria D";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"SEMINARIO SU INTRODUZIONE AL PROTOCOLLO INTEROPERABILE E GESTIONE DOCUMENTALE   ";"FUORI";"A09BB";4;3;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria D";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"GROUPWISE CLIENT                                                                ";"DENTRO";"D08BB";16;1;1;1;1
"F";"DIPLOMA DI QUALIFICA               ";"Categoria C";"COMUNICAZIONE                           ";"UTILIZZO DELLE RISORSE IN LINEA DELLA SEZIONE INTRANET DELLA BIBLIOTECA DELLA GI";"FUORI";"A09FV";8;3;1;1;1
"F";"DIPLOMA DI QUALIFICA               ";"Categoria C";"GIURIDICA                               ";"LA SEMPLIFICAZIONE DELLA DOCUMENTAZIONE AMMINISTRATIVA                          ";"DENTRO";"B09AL";8;3;1;1;1
"F";"DIPLOMA DI QUALIFICA               ";"Categoria C";"ORGANIZZAZIONE E RISORSE UMANE          ";"IL RAPPORTO DI LAVORO NELLA PUBBLICA AMMINISTRAZIONE                            ";"DENTRO";"B09MM";12;4;1;1;1
"M";"DIPLOMA DI MATURITA                ";"Categoria D";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"DRAW                                                                            ";"FUORI";"A09AT";2;4;1;NA;0
"F";"DIPLOMA DI MATURITA                ";"Categoria D";"GIURIDICA                               ";"L'ATTIVITA' CONTRATTUALE DELLA REGIONE TOSCANA - CORSO APPROFONDIMENTO FORNITURE";"DENTRO";"B09AL";28;4;1;1;1
"F";"DIPLOMA DI QUALIFICA               ";"Categoria D";"COMUNICAZIONE                           ";"CERIMONIALE, RELAZIONI ESTERNE ED ORGANIZZAZIONE EVENTI                         ";"FUORI";"A09MS";16;2;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"SEMINARIO SU INTRODUZIONE AL PROTOCOLLO INTEROPERABILE E GESTIONE DOCUMENTALE   ";"FUORI";"A09BB";4;3;1;1;1
"F";"LICENZA SCUOLA MEDIA               ";"Categoria C";"ECONOMICO FINANZIARIA                   ";"L'ORDINAMENTO CONTABILE DELLA REGIONE TOSCANA                                   ";"DENTRO";"A09AT";20;2;1;1;1
"F";"DIPLOMA DI QUALIFICA               ";"Categoria D";"ORGANIZZAZIONE E RISORSE UMANE          ";"GESTIONE PROGETTI - CORSO BASE                                                  ";"DENTRO";"C09MS";24;4;1;NA;0
"F";"DIPLOMA DI QUALIFICA               ";"Categoria D";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"STRUMENTI DI RILEVAZIONE ED ELABORAZIONE STATISTICA DEI DATI                    ";"FUORI";"B09MM";24;4;1;NA;0
"F";"DIPLOMA DI QUALIFICA               ";"Categoria D";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"SEMINARIO SU INTRODUZIONE AL PROTOCOLLO INTEROPERABILE E GESTIONE DOCUMENTALE   ";"FUORI";"A09BB";4;3;1;1;1
"F";"DIPLOMA UNIVERSITARIO              ";"Categoria D";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"SEMINARIO SU INTRODUZIONE AL PROTOCOLLO INTEROPERABILE E GESTIONE DOCUMENTALE   ";"FUORI";"A09BB";4;3;1;1;1
"F";"DIPLOMA UNIVERSITARIO              ";"Categoria D";"EUROPEA                                 ";"I FONDI STRUTTURALI                                                             ";"DENTRO";"D09GR";16;4;1;1;1
"F";"DIPLOMA UNIVERSITARIO              ";"Categoria D";"MANAGERIALE                             ";"COMPETENZE PER LA GESTIONE DELLE RISORSE FAVORENDO L'INNOVAZIONE E IL GOVERNO DE";"FUORI";"A09MM";24;4;1;NA;0
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"COMPETENZE TRASVERSALI                  ";"TECNICHE DI MEMORIZZAZIONE                                                      ";"FUORI";"A09FV";8;2;1;1;1
"F";"LAUREA                             ";"Categoria D";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"SEMINARIO SU INTRODUZIONE AL PROTOCOLLO INTEROPERABILE E GESTIONE DOCUMENTALE   ";"FUORI";"A09BB";4;3;1;1;1
"F";"LAUREA                             ";"Categoria D";"COMUNICAZIONE                           ";"LE FONTI PER L'INFORMAZIONE IN LINEA IN AMBITO GIURIDICO-AMMINISTRATIVO         ";"FUORI";"E09CP";12;4;1;NA;0
"F";"LAUREA                             ";"Categoria D";"EUROPEA                                 ";"EUROPROGETTAZIONE                                                               ";"FUORI";"A09AL";32;3;1;NA;0
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"GIURIDICA                               ";"LA SEMPLIFICAZIONE DELLA DOCUMENTAZIONE AMMINISTRATIVA                          ";"DENTRO";"A09AL";8;2;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"ORGANIZZAZIONE E RISORSE UMANE          ";"ELEMENTI DI ORGANIZZAZIONE - CORSO BASE                                         ";"DENTRO";"B09MS";16;3;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"COMUNICAZIONE                           ";"LE FONTI PER L'INFORMAZIONE IN LINEA IN AMBITO GIURIDICO-AMMINISTRATIVO         ";"FUORI";"E09CP";12;4;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"ORGANIZZAZIONE E RISORSE UMANE          ";"CORSO D'AGGIORNAMENTO PER ADDETTO ALLA SEGRETERIA LEGALE                        ";"FUORI";"A09MD";30;3;1;1;1
"M";"DIPLOMA DI MATURITA                ";"Categoria D";"GIURIDICA                               ";"IL NUOVO PROCEDIMENTO AMMINISTRATIVO                                            ";"FUORI";"B09MS";8;3;1;1;1
"F";"LICENZA SCUOLA MEDIA               ";"Categoria C";"COMPETENZE TRASVERSALI                  ";"SOLUZIONE DEI PROBLEMI                                                          ";"FUORI";"B09FV";16;3;1;NA;0
"F";"DIPLOMA DI QUALIFICA               ";"Categoria C";"COMPETENZE TRASVERSALI                  ";"LETTURA RAPIDA DI DOCUMENTI                                                     ";"FUORI";"B09FV";16;3;1;NA;0
"F";"DIPLOMA DI QUALIFICA               ";"Categoria C";"COMUNICAZIONE                           ";"LA COMUNICAZIONE PUBBLICA E ISTITUZIONALE                                       ";"FUORI";"B09GR";16;4;1;NA;0
"F";"DIPLOMA DI MATURITA                ";"Categoria D";"COMPETENZE TRASVERSALI                  ";"TECNICHE DI GESTIONE GRUPPI E CONDUZIONI RIUNIONI                               ";"FUORI";"A09FV";16;4;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria D";"ECONOMICO FINANZIARIA                   ";"LA COSTRUZIONE E LA VALUTAZIONE DEL PIANO ECONOMICO FINANZIARIO DI UNA INIZIATIV";"FUORI";"B09MS";32;4;1;1;1
"M";"DIPLOMA DI MATURITA                ";"Categoria C";"COMPETENZE TRASVERSALI                  ";"GESTIONE DEL TEMPO                                                              ";"FUORI";"B09FV";16;4;1;1;1
"M";"DIPLOMA DI MATURITA                ";"Categoria C";"COMPETENZE TRASVERSALI                  ";"LETTURA RAPIDA DI DOCUMENTI                                                     ";"FUORI";"B09FV";16;3;1;1;1
"M";"DIPLOMA DI MATURITA                ";"Categoria D";"GIURIDICA                               ";"TESTO UNICO SULLA SICUREZZA (D.LGS. 81/2008)                                    ";"FUORI";"A09CB";12;4;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria D";"COMPETENZE TRASVERSALI                  ";"SOLUZIONE DEI PROBLEMI                                                          ";"FUORI";"D09FV";16;4;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria D";"GIURIDICA                               ";"IL CODICE DELL'AMMINISTRAZIONE DIGITALE                                         ";"FUORI";"C09MM";8;4;1;NA;0
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"COMPETENZE TRASVERSALI                  ";"TECNICHE DI COMUNICAZIONE INTERPERSONALE                                        ";"DENTRO";"F09FV";16;4;1;NA;0
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"COMPETENZE TRASVERSALI                  ";"TECNICHE DI MEMORIZZAZIONE                                                      ";"FUORI";"E09FV";8;4;1;NA;0
