"sesso";"titolo";"giuridica2";"area";"corso";"aula";"edizione";"ore";"trimestre";"iscritti";"formati";"esito"
"M";"LAUREA                             ";"Categoria D";"GIURIDICA                               ";"IL CODICE DELL'AMMINISTRAZIONE DIGITALE                                         ";"FUORI";"D09MM";8;4;1;1;1
"M";"LAUREA                             ";"Categoria D";"GIURIDICA                               ";"L'ATTIVITA' CONTRATTUALE DELLA REGIONE TOSCANA - AGGIORNAMENTO                  ";"DENTRO";"B09AL";8;4;1;NA;0
"M";"LAUREA                             ";"Categoria D";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"ARCGIS 9.2 - CORSO BASE                                                         ";"FUORI";"D09AT";16;4;1;1;1
"M";"LAUREA                             ";"Categoria D";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"LE TECNOLOGIE PER LA MULTIMEDIALITA' E LA MULTICANALITA'                        ";"DENTRO";"A09MM";16;4;1;1;1
"M";"LAUREA                             ";"Categoria D";"COMPETENZE TRASVERSALI                  ";"GESTIONE DEL TEMPO                                                              ";"FUORI";"C09FV";16;4;1;NA;0
"M";"LAUREA                             ";"Categoria D";"COMPETENZE TRASVERSALI                  ";"PARLARE IN PUBBLICO                                                             ";"FUORI";"B09FV";16;4;1;NA;0
"M";"LAUREA                             ";"Categoria D";"COMPETENZE TRASVERSALI                  ";"SOLUZIONE DEI PROBLEMI                                                          ";"FUORI";"D09FV";16;4;1;1;1
"M";"LAUREA                             ";"Categoria D";"COMPETENZE TRASVERSALI                  ";"TECNICHE DI GESTIONE GRUPPI E CONDUZIONI RIUNIONI                               ";"FUORI";"B09FV";16;4;1;NA;0
"M";"LAUREA                             ";"Categoria D";"COMPETENZE TRASVERSALI                  ";"TECNICHE DI NEGOZIAZIONE                                                        ";"FUORI";"C09FV";16;4;1;NA;0
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"TECNICO-SPECIALISTICA                   ";"MATERIE SPECIALISTICHE FGRF                                                     ";"FUORI";"A09CP";32;4;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"COMUNICAZIONE                           ";"LE FONTI PER L'INFORMAZIONE IN LINEA IN AMBITO GIURIDICO-AMMINISTRATIVO         ";"FUORI";"B09FV";12;2;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"GIURIDICA                               ";"LA SEMPLIFICAZIONE DELLA DOCUMENTAZIONE AMMINISTRATIVA                          ";"DENTRO";"A09AL";8;2;1;1;1
"M";"LAUREA                             ";"Categoria D";"GIURIDICA                               ";"IL RIPARTO DELLA GIURISDIZIONE TRA GIUDICE ORDINARIO E GIUDICE AMMINISTRATIVO NE";"FUORI";"A09CB";16;4;1;NA;0
"M";"LAUREA                             ";"Categoria D";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"ARCGIS 9.2 - CORSO BASE                                                         ";"FUORI";"B09AT";16;2;1;1;1
"M";"LAUREA                             ";"Categoria D";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"ARCGIS 9.2 - CORSO AVANZATO                                                     ";"FUORI";"B09AT";24;4;1;1;1
"F";"LAUREA                             ";"Categoria D";"COMPETENZE TRASVERSALI                  ";"TECNICHE DI MEMORIZZAZIONE                                                      ";"FUORI";"E09FV";8;4;1;1;1
"F";"LAUREA                             ";"Categoria D";"GIURIDICA                               ";"L'ATTIVITA' CONTRATTUALE DELLA REGIONE TOSCANA - AGGIORNAMENTO                  ";"DENTRO";"B09AL";8;4;1;NA;0
"F";"LAUREA                             ";"Categoria D";"GIURIDICA                               ";"IL NUOVO PROCEDIMENTO AMMINISTRATIVO                                            ";"FUORI";"B09MS";8;3;1;1;1
"F";"LAUREA                             ";"Categoria D";"GIURIDICA                               ";"LA BUONA QUALITA' DELLA NORMAZIONE                                              ";"FUORI";"A09MD";60;1;1;1;1
"F";"LAUREA                             ";"Categoria D";"GIURIDICA                               ";"TECNICHE DI REDAZIONE E CONTROLLO DI ATTI AMMINISTRATIVI                        ";"DENTRO";"D09AL";28;4;1;NA;0
"F";"DIPLOMA DI QUALIFICA               ";"Categoria B";"COMPETENZE TRASVERSALI                  ";"LETTURA RAPIDA DI DOCUMENTI                                                     ";"FUORI";"C09FV";16;3;1;1;1
"F";"DIPLOMA DI QUALIFICA               ";"Categoria B";"COMUNICAZIONE                           ";"QUALITA' ED EFFICACIA SITO WEB: STRUMENTI E TECNICHE                            ";"DENTRO";"A09GR";16;3;1;NA;0
"M";"DIPLOMA DI MATURITA                ";"Categoria D";"ORGANIZZAZIONE E RISORSE UMANE          ";"GESTIONE PROGETTI - CORSO BASE                                                  ";"DENTRO";"B09MS";24;2;1;1;1
"M";"DIPLOMA DI MATURITA                ";"Categoria D";"ORGANIZZAZIONE E RISORSE UMANE          ";"GESTIONE PROGETTI - CORSO AVANZATO                                              ";"DENTRO";"A09MS";24;3;1;1;1
"M";"DIPLOMA DI MATURITA                ";"Categoria D";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"IL WEB 2.0 E SUE APPLICAZIONI                                                   ";"FUORI";"B09MM";18;4;1;1;1
"F";"LAUREA                             ";"Categoria B";"COMUNICAZIONE                           ";"CERIMONIALE, RELAZIONI ESTERNE ED ORGANIZZAZIONE EVENTI                         ";"FUORI";"B09MS";16;4;1;1;1
"F";"LAUREA                             ";"Categoria B";"EUROPEA                                 ";"LA NUOVA IMPOSTAZIONE DEL F.S.E 2007-2013: MONITORAGGIO, CONTROLLI E RENDICONTAZ";"FUORI";"B09CB";27;4;1;NA;0
"F";"LAUREA                             ";"Categoria D";"ECONOMICO FINANZIARIA                   ";"LA COSTRUZIONE E LA VALUTAZIONE DEL PIANO ECONOMICO FINANZIARIO DI UNA INIZIATIV";"FUORI";"A09MS";32;1;1;1;1
"F";"LAUREA                             ";"Categoria D";"EUROPEA                                 ";"I FONDI STRUTTURALI                                                             ";"DENTRO";"D09GR";16;4;1;NA;0
"F";"LAUREA                             ";"Categoria D";"GIURIDICA                               ";"IL CODICE DELL'AMMINISTRAZIONE DIGITALE                                         ";"FUORI";"D09MM";8;4;1;NA;0
"F";"LAUREA                             ";"Categoria D";"GIURIDICA                               ";"L'ATTIVITA' CONTRATTUALE DELLA REGIONE TOSCANA - CORSO APPROFONDIMENTO LAVORI PU";"DENTRO";"B09AL";28;4;1;NA;0
"M";"DIPLOMA DI MATURITA                ";"Categoria C";"GIURIDICA                               ";"L'ATTIVITA' CONTRATTUALE DELLA REGIONE TOSCANA - AGGIORNAMENTO                  ";"DENTRO";"A09AL";8;3;1;1;1
"M";"DIPLOMA DI MATURITA                ";"Categoria C";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"AUTOCAD - CORSO AVANZATO                                                        ";"FUORI";"A09AT";16;3;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"GIURIDICA                               ";"LA SEMPLIFICAZIONE DELLA DOCUMENTAZIONE AMMINISTRATIVA                          ";"DENTRO";"B09AL";8;3;1;1;1
"F";"LAUREA                             ";"Qualifica dirigenziale";"GIURIDICA                               ";"IL RIPARTO DELLA GIURISDIZIONE TRA GIUDICE ORDINARIO E GIUDICE AMMINISTRATIVO NE";"FUORI";"A09CB";16;4;1;1;1
"F";"LICENZA SCUOLA MEDIA               ";"Categoria B";"GIURIDICA                               ";"LA SEMPLIFICAZIONE DELLA DOCUMENTAZIONE AMMINISTRATIVA                          ";"DENTRO";"C09AL";8;4;1;NA;0
"F";"LAUREA                             ";"Categoria D";"COMUNICAZIONE                           ";"LE FONTI PER L'INFORMAZIONE IN LINEA IN AMBITO GIURIDICO-AMMINISTRATIVO         ";"FUORI";"E09CP";12;4;1;NA;0
"F";"LAUREA                             ";"Categoria D";"GIURIDICA                               ";"L'ATTIVITA' CONTRATTUALE DELLA REGIONE TOSCANA - AGGIORNAMENTO                  ";"DENTRO";"B09AL";8;4;1;1;1
"F";"LAUREA                             ";"Categoria D";"GIURIDICA                               ";"TECNICHE DI REDAZIONE E CONTROLLO DI ATTI AMMINISTRATIVI                        ";"DENTRO";"D09AL";28;4;1;NA;0
"M";"LAUREA                             ";"Categoria D";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"ARCGIS 9.2 - CORSO AVANZATO                                                     ";"FUORI";"D08EB";24;1;1;1;1
"M";"LAUREA                             ";"Categoria D";"TECNICO-SPECIALISTICA                   ";"LA NUOVA NORMATIVA TECNICA PER LE COSTRUZIONI - DM 14/01/2008                   ";"FUORI";"B09MD";42;1;1;1;1
"M";"LAUREA                             ";"Categoria D";"TECNICO-SPECIALISTICA                   ";"IMPLICAZIONI GEOLOGICHE E GEOTECNICHE NELLA PROGETTAZIONE E CONSOLIDAMENTO DELLE";"FUORI";"A09MD";24;4;1;1;1
"M";"LAUREA                             ";"Categoria D";"TECNICO-SPECIALISTICA                   ";"I SOFTWARE GIS OPEN SOURCE E USO DELLA BASE GEOGRAFICA REGIONALE                ";"FUORI";"B09MD";30;4;1;1;1
"M";"LAUREA                             ";"Categoria D";"COMUNICAZIONE                           ";"LE FONTI PER L'INFORMAZIONE IN LINEA IN AMBITO GIURIDICO-AMMINISTRATIVO         ";"FUORI";"D09FV";12;4;1;NA;0
"F";"LAUREA                             ";"Categoria D";"TECNICO-SPECIALISTICA                   ";"LE ACQUE REFLUE E LA TUTELA DELLE ACQUE                                         ";"FUORI";"A09MD";22;1;1;NA;0
"F";"LAUREA                             ";"Categoria D";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"SEMINARIO SU INTRODUZIONE AL PROTOCOLLO INTEROPERABILE E GESTIONE DOCUMENTALE   ";"FUORI";"A09BB";4;3;1;1;1
"F";"LAUREA                             ";"Categoria D";"COMPETENZE TRASVERSALI                  ";"TECNICHE DI GESTIONE GRUPPI E CONDUZIONI RIUNIONI                               ";"FUORI";"B09FV";16;4;1;1;1
"F";"LAUREA                             ";"Categoria D";"ORGANIZZAZIONE E RISORSE UMANE          ";"ELEMENTI DI ORGANIZZAZIONE - CORSO BASE                                         ";"DENTRO";"B09MS";16;3;1;1;1
"F";"LAUREA                             ";"Categoria D";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"SEMINARIO SU INTRODUZIONE AL PROTOCOLLO INTEROPERABILE E GESTIONE DOCUMENTALE   ";"FUORI";"A09BB";4;3;1;1;1
"M";"LAUREA                             ";"Qualifica dirigenziale";"MANAGERIALE                             ";"SVILUPPO DEL RUOLO DIRIGENZIALE                                                 ";"FUORI";"A09MM";24;4;1;NA;0
"M";"LAUREA                             ";"Qualifica dirigenziale";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"SEMINARIO SU INTRODUZIONE AL PROTOCOLLO INTEROPERABILE E GESTIONE DOCUMENTALE   ";"FUORI";"A09BB";4;3;1;1;1
"F";"LAUREA                             ";"Categoria D";"GIURIDICA                               ";"IL RIPARTO DELLA GIURISDIZIONE TRA GIUDICE ORDINARIO E GIUDICE AMMINISTRATIVO NE";"FUORI";"A09CB";16;4;1;1;1
"F";"LAUREA                             ";"Categoria D";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"SEMINARIO SU INTRODUZIONE AL PROTOCOLLO INTEROPERABILE E GESTIONE DOCUMENTALE   ";"FUORI";"A09BB";4;3;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria B";"ORGANIZZAZIONE E RISORSE UMANE          ";"CORSO D'AGGIORNAMENTO PER ADDETTO ALLA SEGRETERIA LEGALE                        ";"FUORI";"A09MD";30;3;1;NA;0
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"ORGANIZZAZIONE E RISORSE UMANE          ";"IL RAPPORTO DI LAVORO NELLA PUBBLICA AMMINISTRAZIONE                            ";"DENTRO";"B09MM";12;4;1;1;1
"M";"LAUREA                             ";"Categoria C";"COMPETENZE TRASVERSALI                  ";"TECNICHE DI MEMORIZZAZIONE                                                      ";"FUORI";"F09FV";8;4;1;1;1
"M";"LAUREA                             ";"Categoria C";"ORGANIZZAZIONE E RISORSE UMANE          ";"TECNICHE DI GESTIONE DELLA BIBLIOTECA E CATALOGAZIONE DOCUMENTI                 ";"FUORI";"A09FV";16;4;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"COMUNICAZIONE                           ";"LA COMUNICAZIONE PUBBLICA E ISTITUZIONALE                                       ";"FUORI";"B09GR";16;4;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"COMUNICAZIONE                           ";"CERIMONIALE, RELAZIONI ESTERNE ED ORGANIZZAZIONE EVENTI                         ";"FUORI";"A09MS";16;2;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"EUROPEA                                 ";"I FONDI STRUTTURALI                                                             ";"DENTRO";"D09GR";16;4;1;NA;0
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"EUROPEA                                 ";"I FONDI STRUTTURALI: LA RENDICONTAZIONE DEI FONDI 2007-2013                     ";"FUORI";"C09GR";16;4;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"COMPETENZE TRASVERSALI                  ";"GESTIONE DEL TEMPO                                                              ";"FUORI";"A09FV";16;2;1;1;1
"F";"LAUREA                             ";"Qualifica dirigenziale";"COMUNICAZIONE                           ";"LE FONTI PER L'INFORMAZIONE IN LINEA IN AMBITO GIURIDICO-AMMINISTRATIVO         ";"FUORI";"E09CP";12;4;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria D";"MANAGERIALE                             ";"LA GOVERNANCE DELLE RETI DI PUBBLICO INTERESSE                                  ";"FUORI";"A09CB";40;3;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria D";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"IL WEB 2.0 E SUE APPLICAZIONI                                                   ";"FUORI";"A09MM";18;4;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria D";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"LE INFRASTRUTTURE DELLA RETE TELEMATICA REGIONALE TOSCANA - RTRT                ";"DENTRO";"A09MM";24;4;1;1;1
"F";"LAUREA                             ";"Categoria D";"ECONOMICO FINANZIARIA                   ";"L'ORDINAMENTO CONTABILE DELLA REGIONE TOSCANA                                   ";"DENTRO";"D09AT";20;4;1;1;1
"F";"LAUREA                             ";"Categoria D";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"ANALISI E PROGETTAZIONE DATI                                                    ";"FUORI";"B09MS";16;4;1;1;1
"M";"LAUREA                             ";"Categoria D";"MANAGERIALE                             ";"AER REGIONE TOSCANA E-PROCUREMENT E PROCESSI DI CHANGE MANAGEMENT               ";"FUORI";"A09RP";12;1;1;NA;0
"M";"LAUREA                             ";"Categoria D";"ORGANIZZAZIONE E RISORSE UMANE          ";"GESTIRE IL CAMBIAMENTO                                                          ";"DENTRO";"POGRU";16;1;1;NA;0
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"COMPETENZE TRASVERSALI                  ";"LETTURA RAPIDA DI DOCUMENTI                                                     ";"FUORI";"B09FV";16;3;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"COMPETENZE TRASVERSALI                  ";"TECNICHE DI COMUNICAZIONE INTERPERSONALE                                        ";"DENTRO";"E09FV";16;3;1;1;1
"M";"LAUREA                             ";"Categoria D";"ECONOMICO FINANZIARIA                   ";"LA COSTRUZIONE E LA VALUTAZIONE DEL PIANO ECONOMICO FINANZIARIO DI UNA INIZIATIV";"FUORI";"B09MS";32;4;1;NA;0
"M";"LAUREA                             ";"Categoria D";"EUROPEA                                 ";"EUROPROGETTAZIONE                                                               ";"FUORI";"A09AL";32;3;1;1;1
"F";"LAUREA                             ";"Categoria D";"GIURIDICA                               ";"L'ATTIVITA' CONTRATTUALE DELLA REGIONE TOSCANA - CORSO APPROFONDIMENTO FORNITURE";"DENTRO";"C09AL";28;4;1;1;1
"F";"LAUREA                             ";"Categoria D";"GIURIDICA                               ";"L'ATTIVITA' CONTRATTUALE DELLA REGIONE TOSCANA - CORSO BASE                     ";"DENTRO";"D09AL";16;3;1;1;1
"F";"LAUREA                             ";"Categoria D";"COMUNICAZIONE                           ";"LA COMUNICAZIONE PUBBLICA E ISTITUZIONALE                                       ";"DENTRO";"A09GR";16;3;1;NA;0
"F";"LAUREA                             ";"Categoria D";"GIURIDICA                               ";"IL CONTRATTO DI APPALTO PER LA FORNITURA DI BENI E SERVIZI: DALL'AGGIUDICAZIONE ";"FUORI";"B09AL";16;2;1;1;1
"F";"LAUREA                             ";"Categoria D";"GIURIDICA                               ";"IL CODICE DELL'AMMINISTRAZIONE DIGITALE                                         ";"FUORI";"D09MM";8;4;1;1;1
"F";"LAUREA                             ";"Categoria D";"GIURIDICA                               ";"IL NUOVO PROCEDIMENTO AMMINISTRATIVO                                            ";"FUORI";"D09MS";8;4;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria D";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"INTRODUZIONE A BUSINESS OBJECTS                                                 ";"DENTRO";"C08AT";24;1;1;NA;0
"F";"DIPLOMA DI MATURITA                ";"Categoria D";"COMPETENZE TRASVERSALI                  ";"TECNICHE DI GESTIONE GRUPPI E CONDUZIONI RIUNIONI                               ";"FUORI";"B09FV";16;4;1;NA;0
"F";"DIPLOMA DI MATURITA                ";"Categoria D";"ECONOMICO FINANZIARIA                   ";"LA PROGRAMMAZIONE CONTABILE E DI BILANCIO                                       ";"DENTRO";"A09AT";16;4;1;NA;0
"F";"DIPLOMA DI MATURITA                ";"Categoria D";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"INTRODUZIONE A BUSINESS OBJECTS                                                 ";"FUORI";"B09AL";24;4;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"COMPETENZE TRASVERSALI                  ";"SOLUZIONE DEI PROBLEMI                                                          ";"FUORI";"C09FV";16;4;1;1;1
"F";"LICENZA SCUOLA MEDIA               ";"Categoria C";"COMUNICAZIONE                           ";"LA COMUNICAZIONE PUBBLICA E ISTITUZIONALE                                       ";"DENTRO";"A09GR";16;3;1;NA;0
"F";"LICENZA SCUOLA MEDIA               ";"Categoria C";"COMPETENZE TRASVERSALI                  ";"GESTIONE DEL TEMPO                                                              ";"FUORI";"C09FV";16;4;1;1;1
"F";"DIPLOMA UNIVERSITARIO              ";"Categoria D";"COMPETENZE TRASVERSALI                  ";"SOLUZIONE DEI PROBLEMI                                                          ";"FUORI";"C09FV";16;4;1;NA;0
"F";"DIPLOMA UNIVERSITARIO              ";"Categoria D";"COMPETENZE TRASVERSALI                  ";"TECNICHE DI COMUNICAZIONE INTERPERSONALE                                        ";"DENTRO";"F09FV";16;4;1;NA;0
"F";"DIPLOMA UNIVERSITARIO              ";"Categoria D";"ORGANIZZAZIONE E RISORSE UMANE          ";"INTERVENTO FORMATIVO PER PERSONALE IN RIENTRO DA PERIODI DI ASSENZA DI ALMENO 5 ";"DENTRO";"A09MS";12;4;1;NA;0
"M";"LAUREA                             ";"Categoria D";"COMUNICAZIONE                           ";"SCRITTURA, WEB, DOCUMENTI, INFORMAZIONE                                         ";"DENTRO";"A09GR";16;2;1;1;1
"M";"LAUREA                             ";"Categoria D";"COMUNICAZIONE                           ";"QUALITA' ED EFFICACIA SITO WEB: STRUMENTI E TECNICHE                            ";"DENTRO";"A09GR";16;3;1;1;1
"F";"LAUREA                             ";"Categoria D";"GIURIDICA                               ";"LA PRIVACY IN AMBITO SANITARIO                                                  ";"FUORI";"B09CB";8;2;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"COMUNICAZIONE                           ";"LE FONTI PER L'INFORMAZIONE IN LINEA IN AMBITO GIURIDICO-AMMINISTRATIVO         ";"FUORI";"E09CP";12;4;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"GIURIDICA                               ";"IL CODICE DELL'AMMINISTRAZIONE DIGITALE                                         ";"FUORI";"C09MM";8;4;1;NA;0
"F";"LAUREA                             ";"Categoria D";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"INTRODUZIONE A BUSINESS OBJECTS                                                 ";"DENTRO";"C08AT";24;1;1;NA;0
"F";"LAUREA                             ";"Qualifica dirigenziale";"ECONOMICO FINANZIARIA                   ";"IL GOVERNO DELLE PARTECIPAZIONI REGIONALI                                       ";"FUORI";"A09CB";24;4;1;NA;0
"F";"LAUREA                             ";"Qualifica dirigenziale";"GIURIDICA                               ";"LE FONDAZIONI E LE ASSOCIAZIONI, STRUMENTI DI INTERVENTO NELL'ECONOMIA E NEL SOC";"FUORI";"A09CB";8;3;1;1;1
"F";"LAUREA                             ";"Categoria D";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"L'INFORMAZIONE MULTIMEDIALE IN REGIONE TOSCANA                                  ";"FUORI";"A09MD";24;2;1;1;1
"M";"DIPLOMA DI MATURITA                ";"Categoria C";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"GROUPWISE CLIENT                                                                ";"DENTRO";"D08BB";16;1;1;1;1
"M";"DIPLOMA DI MATURITA                ";"Categoria C";"TECNICO-SPECIALISTICA                   ";"MODELLI DI SIMULAZIONE DEI TRASPORTI E DI VALUTAZIONE DELL'IMPATTO AMBIENTALE DE";"FUORI";"A09MD";30;4;1;1;1
"M";"DIPLOMA DI MATURITA                ";"Categoria C";"ORGANIZZAZIONE E RISORSE UMANE          ";"ELEMENTI DI ORGANIZZAZIONE - CORSO BASE                                         ";"DENTRO";"B09MS";16;3;1;NA;0
"M";"DIPLOMA DI MATURITA                ";"Categoria C";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"ARCGIS 9.2 - CORSO AVANZATO                                                     ";"FUORI";"D08EB";24;1;1;NA;0
"M";"DIPLOMA DI MATURITA                ";"Categoria C";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"AUTOCAD - CORSO AVANZATO                                                        ";"FUORI";"B09AT";16;4;1;NA;0
"F";"LAUREA                             ";"Categoria D";"COMPETENZE TRASVERSALI                  ";"PARLARE IN PUBBLICO                                                             ";"FUORI";"C09FV";16;4;1;1;1
"F";"LAUREA                             ";"Categoria D";"GIURIDICA                               ";"L'ATTIVITA' CONTRATTUALE DELLA REGIONE TOSCANA - AGGIORNAMENTO                  ";"DENTRO";"B09AL";8;4;1;NA;0
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"TECNICO-SPECIALISTICA                   ";"MATERIE SPECIALISTICHE FA                                                       ";"FUORI";"B09CP";32;4;1;1;1
"F";"LICENZA SCUOLA MEDIA               ";"Categoria C";"GIURIDICA                               ";"LA SEMPLIFICAZIONE DELLA DOCUMENTAZIONE AMMINISTRATIVA                          ";"DENTRO";"C09AL";8;4;1;1;1
"F";"LICENZA SCUOLA MEDIA               ";"Categoria B";"COMUNICAZIONE                           ";"LA DOCUMENTAZIONE IN RETE: GUIDA AL SITO WEB DELLA REGIONE TOSCANA              ";"DENTRO";"A09GR";8;4;1;1;1
"F";"LICENZA SCUOLA MEDIA               ";"Categoria B";"GIURIDICA                               ";"LA SEMPLIFICAZIONE DELLA DOCUMENTAZIONE AMMINISTRATIVA                          ";"DENTRO";"C09AL";8;4;1;1;1
"M";"LICENZA ELEMENTARE                 ";"Categoria B";"COMPETENZE TRASVERSALI                  ";"ACCOGLIENZA E CORTESIA                                                          ";"DENTRO";"A09AT";22;2;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"COMUNICAZIONE                           ";"UTILIZZO DELLE RISORSE IN LINEA DELLA SEZIONE INTRANET DELLA BIBLIOTECA DELLA GI";"FUORI";"A09FV";8;3;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"GIURIDICA                               ";"IL CODICE DELL'AMMINISTRAZIONE DIGITALE                                         ";"FUORI";"D09MM";8;4;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"ORGANIZZAZIONE E RISORSE UMANE          ";"GESTIRE IL CAMBIAMENTO                                                          ";"DENTRO";"POGRU";16;1;1;NA;0
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"STRUMENTI DI RILEVAZIONE ED ELABORAZIONE STATISTICA DEI DATI                    ";"FUORI";"A09MM";24;2;1;NA;0
"M";"DIPLOMA DI MATURITA                ";"Categoria C";"COMPETENZE TRASVERSALI                  ";"TECNICHE DI MEMORIZZAZIONE                                                      ";"FUORI";"A09FV";8;2;1;1;1
"M";"DIPLOMA DI MATURITA                ";"Categoria C";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"IL WEB 2.0 E SUE APPLICAZIONI                                                   ";"FUORI";"A09MM";18;4;1;1;1
"F";"DIPLOMA DI QUALIFICA               ";"Categoria B";"TECNICO-SPECIALISTICA                   ";"GUIDA SICURA                                                                    ";"FUORI";"B08RP";8;2;1;1;1
"M";"LICENZA SCUOLA MEDIA               ";"Categoria B";"COMPETENZE TRASVERSALI                  ";"ACCOGLIENZA E CORTESIA                                                          ";"FUORI";"B09AT";22;3;1;1;1
"M";"SPECIALIZZAZIONI POSTLAUREA        ";"Categoria D";"ECONOMICO FINANZIARIA                   ";"ESPERIENZE DI FORMAZIONE E VALUTAZIONE DI PIANI REGIONALI                       ";"FUORI";"MPV4 ";34;2;1;1;1
"M";"SPECIALIZZAZIONI POSTLAUREA        ";"Categoria D";"ECONOMICO FINANZIARIA                   ";"QSN: PROGRAMMAZIONE EUROPEA E NAZIONALE                                         ";"FUORI";"MPV4 ";21;2;1;NA;0
"M";"SPECIALIZZAZIONI POSTLAUREA        ";"Categoria D";"ECONOMICO FINANZIARIA                   ";"STRUMENTI E METODI DI PROGRAMMAZIONE                                            ";"FUORI";"MPV4 ";32;2;1;1;1
"M";"SPECIALIZZAZIONI POSTLAUREA        ";"Categoria D";"ECONOMICO FINANZIARIA                   ";"UNA REGIONE VERSO IL FUTURO                                                     ";"FUORI";"MPV4 ";30;2;1;NA;0
"M";"SPECIALIZZAZIONI POSTLAUREA        ";"Categoria D";"ECONOMICO FINANZIARIA                   ";"VALUTAZIONE, MONITORAGGIO E CONTROLLO                                           ";"FUORI";"MPV4 ";31;2;1;1;1
"M";"SPECIALIZZAZIONI POSTLAUREA        ";"Categoria D";"ECONOMICO FINANZIARIA                   ";"PROJECT WORK                                                                    ";"FUORI";"MPV4 ";22;3;1;1;1
"M";"SPECIALIZZAZIONI POSTLAUREA        ";"Categoria D";"EUROPEA                                 ";"LA NUOVA IMPOSTAZIONE DEL F.S.E 2007-2013: MONITORAGGIO, CONTROLLI E RENDICONTAZ";"FUORI";"B09CB";27;4;1;1;1
"M";"SPECIALIZZAZIONI POSTLAUREA        ";"Categoria D";"GIURIDICA                               ";"IL NUOVO PROCEDIMENTO AMMINISTRATIVO                                            ";"FUORI";"C09MS";8;4;1;1;1
"M";"SPECIALIZZAZIONI POSTLAUREA        ";"Categoria D";"GIURIDICA                               ";"L'ATTIVITA' CONTRATTUALE DELLA REGIONE TOSCANA - AGGIORNAMENTO                  ";"DENTRO";"B09AL";8;4;1;NA;0
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"GIURIDICA                               ";"LA PRIVACY IN AMBITO SANITARIO                                                  ";"FUORI";"B09CB";8;2;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"ORGANIZZAZIONE E RISORSE UMANE          ";"FORMAZIONE PER IL PERSONALE DI NUOVO INSERIMENTO - PRESENTAZIONE E BILANCIO DELL";"FUORI";"D09NA";26;4;1;1;1
"F";"LAUREA                             ";"Categoria D";"COMPETENZE TRASVERSALI                  ";"TECNICHE DI GESTIONE GRUPPI E CONDUZIONI RIUNIONI                               ";"FUORI";"A09FV";16;4;1;1;1
"M";"LAUREA                             ";"Qualifica dirigenziale";"MANAGERIALE                             ";"AER REGIONE TOSCANA E-PROCUREMENT E PROCESSI DI CHANGE MANAGEMENT               ";"FUORI";"A09RP";12;1;1;NA;0
